LOV      DISP                  VAL
-------- --------------------- --------------
state    Unassigned            UNASSIGNED
state    Assigned              ASSIGNED
state    Information Requested INFO_REQUESTED
state    Completed             COMPLETED
state    Canceled              CANCELLED
state    Expired               EXPIRED
state    Failed                FAILED
state    Errored               ERRORED
priority Urgent                1
priority High                  2
priority Medium                3
priority Low                   4
priority Lowest                5
type     Approval              APPROVAL
type     Action                ACTION
